date,valuation_disp,quality_disp,growth_disp,momentum_disp,risk_disp,revisions_disp,size_disp,investment_disp
2026-03-09,23.6201,17.6115,17.22,26.3468,20.2377,16.7708,28.892,28.8915
2026-03-15,23.6661,17.7139,17.1986,26.2348,20.2672,16.6248,28.892,28.8915
2026-03-16,23.6648,17.7122,17.178,26.3336,20.269,16.5668,28.8919,28.8915
2026-03-16,23.6628,17.7122,17.178,26.3289,20.2704,16.5623,28.8919,28.8915
2026-04-14,23.9433,17.7853,17.3446,26.5765,18.6242,16.0626,28.892,28.8915
2026-04-14,23.9433,17.7853,17.3446,26.5765,18.6242,16.0626,28.892,28.8915
2026-04-14,23.9433,17.7853,17.3446,26.5765,18.6242,16.0626,28.892,28.8915
2026-04-14,23.9433,17.7853,17.3446,26.5765,18.6242,16.0626,28.892,28.8915
2026-07-28,17.1522,12.9505,16.6332,17.559,11.3047,21.8018,28.887,28.8925
2026-07-28,23.8798,18.0768,17.1135,27.0731,20.2979,16.6926,28.8922,28.8913
2026-07-28,23.8772,18.0768,17.1973,27.0782,20.3006,16.6926,28.8922,28.8913
2026-07-29,23.8787,18.3183,19.8767,27.0592,20.2438,16.6926,28.8922,28.8913
2026-08-07,16.6718,12.9805,16.3952,17.289,15.1491,22.3763,28.8873,28.892
2026-08-10,16.6718,12.9805,16.3952,17.289,15.1491,22.3763,28.8873,28.892
