date,valuation_disp,quality_disp,growth_disp,momentum_disp,risk_disp,revisions_disp,size_disp,investment_disp
2026-03-09,23.6201,17.6115,17.22,26.3468,20.2377,16.7708,28.892,28.8915
2026-03-15,23.6661,17.7139,17.1986,26.2348,20.2672,16.6248,28.892,28.8915
2026-03-16,23.6648,17.7122,17.178,26.3336,20.269,16.5668,28.8919,28.8915
2026-03-16,23.6628,17.7122,17.178,26.3289,20.2704,16.5623,28.8919,28.8915
2026-04-14,23.9433,17.7853,17.3446,26.5765,18.6242,16.0626,28.892,28.8915
2026-04-14,23.9433,17.7853,17.3446,26.5765,18.6242,16.0626,28.892,28.8915
2026-04-14,23.9433,17.7853,17.3446,26.5765,18.6242,16.0626,28.892,28.8915
2026-04-14,23.9433,17.7853,17.3446,26.5765,18.6242,16.0626,28.892,28.8915
2026-07-28,17.1522,12.9505,16.6332,17.559,11.3047,21.8018,28.887,28.8925
2026-07-28,23.8798,18.0768,17.1135,27.0731,20.2979,16.6926,28.8922,28.8913
2026-07-28,23.8772,18.0768,17.1973,27.0782,20.3006,16.6926,28.8922,28.8913
2026-07-29,23.8787,18.3183,19.8767,27.0592,20.2438,16.6926,28.8922,28.8913
2026-08-10,24.0301,18.3424,19.9742,26.1484,19.6883,16.2843,28.8932,28.8918
2026-08-12,24.0382,18.3319,20.003,26.1671,19.6717,16.3907,28.8933,28.8918
2026-08-14,24.0259,18.3434,19.9036,26.1394,19.7481,16.279,28.8931,28.8918
2026-08-20,24.0597,18.3079,20.1793,26.1025,19.6218,16.3889,28.893,28.8919
2026-08-21,24.0597,18.3079,20.175,26.3061,19.5508,16.3889,28.893,28.8919
2026-08-24,24.0667,18.3064,19.9683,26.3798,19.5056,16.3785,28.893,28.8919
2026-08-25,24.0486,18.3139,19.9983,26.1564,19.8576,16.4435,28.893,28.8919
2026-08-26,24.0991,18.2851,19.8768,25.975,19.86,16.438,28.8928,28.8918
2026-08-26,24.0711,18.2853,20.0101,25.9022,19.8805,16.4167,28.8928,28.8918
